순위,Top Keyword,1,,순위,Top Keyword,1
233,적인,0.000586664,,233,젊은이,0.000590698
234,네티즌,0.000584483,,234,애정,0.000587407
235,요리,0.000582193,,235,기타,0.00058616
236,학년,0.000576972,,236,색감,0.000584137
237,이스트,0.00057695,,237,몰입도가,0.000584047
238,미야자키,0.000571186,,238,스톤,0.00058255
239,지인,0.000570917,,239,조카,0.000581029
240,대로,0.000570018,,240,군더더기,0.000580463
241,인지,0.000568795,,241,로맨스,0.000578722
242,무술,0.000566713,,242,상징,0.000577947
243,콤비,0.000564181,,243,역할,0.00057707
244,지질,0.000556768,,244,감안,0.000573488
245,유쾌,0.000556385,,245,감탄,0.000571136
246,서울,0.00055366,,246,기쁨,0.00057075
247,가정,0.000549738,,247,한가지,0.000567815
248,연극,0.000548793,,248,초반,0.000564602
249,이스트우드,0.000547642,,249,별거,0.000564386
250,따위,0.000544646,,250,좀비영화,0.00055981
251,몰입,0.000542507,,251,오열,0.000555708
252,김기덕,0.000540765,,252,원숭이,0.000554967
253,몸매,0.000538276,,253,말씀,0.000554326
254,코난,0.000536457,,254,소피마르소,0.000550995
255,영화화,0.000535979,,255,관람,0.000549208
256,이정,0.000533522,,256,아픔,0.000548228
257,재밌,0.00053228,,257,자본주의,0.000543317
258,보라,0.000532071,,258,일반,0.000542217
259,남자,0.000529938,,259,이소룡,0.000541085
260,마무리,0.000529386,,260,별개,0.000539139
261,유아,0.000528998,,261,오바,0.000533198
262,영화라니,0.000528549,,262,청년,0.000527652
263,레오,0.000527218,,263,수치,0.000526883
264,걱정,0.000527111,,264,그분,0.000522606
265,비유,0.000526027,,265,무표정,0.000521095
266,정통,0.000525893,,266,무의미,0.000520458
267,찌질,0.000524541,,267,대신,0.000520276
268,그것,0.000524083,,268,역경,0.000519945
269,전기,0.000519108,,269,임수정,0.000519688
270,스토리,0.000516649,,270,미장,0.000513677
271,이건,0.000512868,,271,눈치,0.000511404
272,결말,0.000511614,,272,따름,0.00051114
273,영화중,0.000505426,,273,추리,0.000509622
274,감성적,0.000504572,,274,무리,0.000507831
275,왕가위,0.000498621,,275,소개,0.000504846
276,아우,0.000498288,,276,가해자,0.000504471
277,예진,0.000497876,,277,펭귄,0.000504256
278,추측,0.000496034,,278,배꼽,0.000504216
279,수채화,0.000493818,,279,연주,0.000502742
280,평소,0.000491682,,280,스트립,0.00050096
281,설득력,0.000490857,,281,지존,0.000500346
282,액션씬,0.000490017,,282,결과,0.000499497
283,모성애,0.000489985,,283,인연,0.000499426
284,타락,0.000487394,,284,악평,0.00049879
285,이순신,0.000481841,,285,귀신,0.000497534
286,녀석,0.000480475,,286,기억,0.000493554
287,다의,0.000480435,,287,브래드,0.00049121
288,보소,0.000478534,,288,티비,0.000490089
289,모세,0.000478295,,289,그린,0.000488334
290,박해,0.000476207,,290,권력,0.000487412
291,기술,0.000475049,,291,막판,0.000486987
292,본거,0.000474725,,292,무술,0.000486415
293,보물,0.000474381,,293,명연기,0.000485153
294,이틀,0.00046901,,294,미지,0.000484804
295,기승,0.000466315,,295,프로,0.000483923
296,내서,0.000466012,,296,동안,0.000482326
297,상당,0.000465444,,297,과장,0.000481874
298,제이슨,0.00046471,,298,경악,0.000481795
